State,Qualified plans,Lowest Bronze,Lowest Silver,Lowest Gold,Lowest Catastrophic,Lowest Bronze after tax credit,AveragePlans,Average Lowest Bronze,AverageLowestBronzeTaxCredit,,,
AK,34,254.00,312.00,401.00,236.00,48.00,53,163.00,93.00,,,
AL,7,162.00,200.00,248.00,138.00,98.00,53,163.00,93.00,,,
AR,28,181.00,231.00,263.00,135.00,85.00,53,163.00,93.00,,,
AZ,106,141.00,164.00,187.00,107.00,120.00,53,163.00,93.00,,,
DE,19,203.00,234.00,282.00,137.00,111.00,53,163.00,93.00,,,
FL,102,169.00,200.00,229.00,132.00,96.00,53,163.00,93.00,,,
GA,50,179.00,208.00,242.00,142.00,103.00,53,163.00,93.00,,,
IA,39,139.00,175.00,203.00,95.00,96.00,53,163.00,93.00,,,
ID,42,150.00,182.00,211.00,134.00,107.00,53,163.00,93.00,,,
IL,58,134.00,180.00,210.00,134.00,90.00,53,163.00,93.00,,,
IN,34,200.00,258.00,332.00,168.00,80.00,53,163.00,93.00,,,
KS,37,130.00,171.00,192.00,87.00,104.00,53,163.00,93.00,,,
LA,40,175.00,235.00,253.00,142.00,71.00,53,163.00,93.00,,,
ME,20,216.00,255.00,336.00,182.00,96.00,53,163.00,93.00,,,
MI,43,146.00,178.00,218.00,118.00,89.00,53,163.00,93.00,,,
MO,17,162.00,211.00,242.00,110.00,87.00,53,163.00,93.00,,,
MS,22,225.00,265.00,321.00,,75.00,53,163.00,93.00,,,
MT,26,165.00,204.00,222.00,149.00,102.00,53,163.00,93.00,,,
NC,22,186.00,237.00,283.00,123.00,88.00,53,163.00,93.00,,,
ND,24,185.00,230.00,259.00,142.00,98.00,53,163.00,93.00,,,
NE,40,159.00,196.00,232.00,122.00,98.00,53,163.00,93.00,,,
NH,12,186.00,236.00,281.00,157.00,94.00,53,163.00,93.00,,,
NJ,29,219.00,253.00,303.00,186.00,103.00,53,163.00,93.00,,,
NM,52,143.00,181.00,204.00,120.00,102.00,53,163.00,93.00,,,
OH,46,177.00,200.00,243.00,131.00,110.00,53,163.00,93.00,,,
OK,53,114.00,169.00,203.00,105.00,84.00,53,163.00,93.00,,,
PA,56,151.00,170.00,205.00,125.00,109.00,53,163.00,93.00,,,
SC,26,176.00,219.00,259.00,146.00,97.00,53,163.00,93.00,,,
SD,32,196.00,225.00,272.00,169.00,106.00,53,163.00,93.00,,,
TN,59,119.00,155.00,205.00,,103.00,53,163.00,93.00,,,
TX,54,139.00,189.00,225.00,139.00,83.00,53,163.00,93.00,,,
UT,82,153.00,183.00,212.00,116.00,95.00,53,163.00,93.00,,,
VA,47,156.00,213.00,253.00,118.00,80.00,53,163.00,93.00,,,
WI,97,189.00,227.00,280.00,150.00,96.00,53,163.00,93.00,,,
WV,12,185.00,218.00,266.00,169.00,112.00,53,163.00,93.00,,,
WY,16,286.00,324.00,365.00,259.00,90.00,53,163.00,93.00,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
