date,city,temp
20111001, New York,63.4
20111002, New York,58
20111003, New York,53.3
20111004, New York,55.7
20111005, New York,64.2
20111006, New York,58.8
20111007, New York,57.9
20111008, New York,61.8
20111009, New York,69.3
20111010, New York,71.2
20111011, New York,68.7
20111012, New York,61.8
20111013, New York,63
20111014, New York,66.9
20111015, New York,61.7
20111016, New York,61.8
20111017, New York,62.8
20111018, New York,60.8
20111019, New York,62.1
20111020, New York,65.1
20111021, New York,55.6
20111022, New York,54.4
20111023, New York,54.4
20111024, New York,54.8
20111025, New York,57.9
20111026, New York,54.6
20111027, New York,54.4
20111028, New York,42.5
20111029, New York,40.9
20111030, New York,38.6
20111031, New York,44.2
20111101, New York,49.6
20111102, New York,47.2
20111103, New York,50.1
20111104, New York,50.1
20111105, New York,43.5
20111106, New York,43.8
20111107, New York,48.9
20111108, New York,55.5
20111109, New York,53.7
20111110, New York,57.7
20111111, New York,48.5
20111112, New York,46.8
20111113, New York,51.1
20111114, New York,56.8
20111115, New York,59.7
20111116, New York,56.5
20111117, New York,49.6
20111118, New York,41.5
20111119, New York,44.3
20111120, New York,54
20111121, New York,54.1
20111122, New York,49.4
20111123, New York,50
20111124, New York,44
20111125, New York,50.3
20111126, New York,52.1
20111127, New York,49.6
20111128, New York,57.2
20111129, New York,59.1
20111130, New York,50.6
20111201, New York,44.3
20111202, New York,43.9
20111203, New York,42.1
20111204, New York,43.9
20111205, New York,50.2
20111206, New York,54.2
20111207, New York,54.6
20111208, New York,43.4
20111209, New York,42.2
20111210, New York,45
20111211, New York,33.8
20111212, New York,36.8
20111213, New York,38.6
20111214, New York,41.9
20111215, New York,49.6
20111216, New York,50.2
20111217, New York,40.6
20111218, New York,29.1
20111219, New York,33.7
20111220, New York,45.8
20111221, New York,47.4
20111222, New York,54.4
20111223, New York,47.8
20111224, New York,34.9
20111225, New York,35.9
20111226, New York,43.6
20111227, New York,42.9
20111228, New York,46.2
20111229, New York,30.8
20111230, New York,40.8
20111231, New York,49.8
20120101, New York,46.3
20120102, New York,43.2
20120103, New York,30.3
20120104, New York,19.2
20120105, New York,32.1
20120106, New York,41.2
20120107, New York,47
20120108, New York,46
20120109, New York,34.7
20120110, New York,39.4
20120111, New York,40.4
20120112, New York,45.4
20120113, New York,40.7
20120114, New York,30.4
20120115, New York,23.9
20120116, New York,22.6
20120117, New York,39.8
20120118, New York,43.2
20120119, New York,26.3
20120120, New York,32.8
20120121, New York,27.4
20120122, New York,25
20120123, New York,39.4
20120124, New York,48.7
20120125, New York,43
20120126, New York,37.1
20120127, New York,48.2
20120128, New York,43.7
20120129, New York,40.1
20120130, New York,38
20120131, New York,43.5
20120201, New York,50.4
20120202, New York,45.8
20120203, New York,37.5
20120204, New York,40.8
20120205, New York,36.5
20120206, New York,39.1
20120207, New York,43.2
20120208, New York,36.5
20120209, New York,36.5
20120210, New York,38.3
20120211, New York,36.9
20120212, New York,29.7
20120213, New York,33.1
20120214, New York,39.6
20120215, New York,42.3
20120216, New York,39.7
20120217, New York,46
20120218, New York,41.2
20120219, New York,39.8
20120220, New York,38.1
20120221, New York,37.1
20120222, New York,45.5
20120223, New York,50.6
20120224, New York,42.7
20120225, New York,42.6
20120226, New York,36.9
20120227, New York,40.9
20120228, New York,45.9
20120229, New York,40.7
20120301, New York,41.3
20120302, New York,36.8
20120303, New York,47.6
20120304, New York,44.2
20120305, New York,38.5
20120306, New York,32.9
20120307, New York,43.3
20120308, New York,51.2
20120309, New York,47.8
20120310, New York,37.2
20120311, New York,42.9
20120312, New York,48.8
20120313, New York,52.6
20120314, New York,60.5
20120315, New York,47.2
20120316, New York,44.7
20120317, New York,48.2
20120318, New York,48.2
20120319, New York,53.1
20120320, New York,57.8
20120321, New York,57.5
20120322, New York,57.3
20120323, New York,61.7
20120324, New York,55.8
20120325, New York,48.4
20120326, New York,49.8
20120327, New York,39.6
20120328, New York,49.7
20120329, New York,56.8
20120330, New York,46.5
20120331, New York,42.2
20120401, New York,45.3
20120402, New York,48.1
20120403, New York,51.2
20120404, New York,61
20120405, New York,50.7
20120406, New York,48
20120407, New York,51.1
20120408, New York,55.7
20120409, New York,58.3
20120410, New York,55
20120411, New York,49
20120412, New York,51.7
20120413, New York,53.1
20120414, New York,55.2
20120415, New York,62.3
20120416, New York,62.9
20120417, New York,69.3
20120418, New York,59
20120419, New York,54.1
20120420, New York,56.5
20120421, New York,58.2
20120422, New York,52.4
20120423, New York,51.6
20120424, New York,49.3
20120425, New York,52.5
20120426, New York,50.5
20120427, New York,51.9
20120428, New York,47.4
20120429, New York,54.1
20120430, New York,51.9
20120501, New York,57.4
20120502, New York,53.7
20120503, New York,53.1
20120504, New York,57.2
20120505, New York,57
20120506, New York,56.6
20120507, New York,54.6
20120508, New York,57.9
20120509, New York,59.2
20120510, New York,61.1
20120511, New York,59.7
20120512, New York,64.1
20120513, New York,65.3
20120514, New York,64.2
20120515, New York,62
20120516, New York,63.8
20120517, New York,64.5
20120518, New York,61
20120519, New York,62.6
20120520, New York,66.2
20120521, New York,62.7
20120522, New York,63.7
20120523, New York,66.4
20120524, New York,64.5
20120525, New York,65.4
20120526, New York,69.4
20120527, New York,71.9
20120528, New York,74.4
20120529, New York,75.9
20120530, New York,72.9
20120531, New York,72.5
20120601, New York,67.2
20120602, New York,68.3
20120603, New York,67.7
20120604, New York,61.9
20120605, New York,58.3
20120606, New York,61.7
20120607, New York,66.7
20120608, New York,68.7
20120609, New York,72.2
20120610, New York,72.6
20120611, New York,69.2
20120612, New York,66.9
20120613, New York,66.7
20120614, New York,67.7
20120615, New York,68.5
20120616, New York,67.5
20120617, New York,64.2
20120618, New York,61.7
20120619, New York,66.4
20120620, New York,77.9
20120621, New York,88.3
20120622, New York,82.2
20120623, New York,77
20120624, New York,75.4
20120625, New York,70.9
20120626, New York,65.9
20120627, New York,73.5
20120628, New York,77.4
20120629, New York,79.6
20120630, New York,84.2
20120701, New York,81.8
20120702, New York,82.5
20120703, New York,80.2
20120704, New York,77.8
20120705, New York,86.1
20120706, New York,79.9
20120707, New York,83.5
20120708, New York,81.5
20120709, New York,77.8
20120710, New York,76.1
20120711, New York,76.3
20120712, New York,75.8
20120713, New York,77.2
20120714, New York,79.3
20120715, New York,78.9
20120716, New York,79.6
20120717, New York,83.3
20120718, New York,84.3
20120719, New York,75.1
20120720, New York,68.4
20120721, New York,68.4
20120722, New York,72.2
20120723, New York,75.6
20120724, New York,82.6
20120725, New York,78.4
20120726, New York,77
20120727, New York,79.4
20120728, New York,77.4
20120729, New York,72.5
20120730, New York,72.9
20120731, New York,73.6
20120801, New York,75
20120802, New York,77.7
20120803, New York,79.7
20120804, New York,79.6
20120805, New York,81.5
20120806, New York,80
20120807, New York,75.7
20120808, New York,77.8
20120809, New York,78.6
20120810, New York,77.8
20120811, New York,78.5
20120812, New York,78.8
20120813, New York,78.6
20120814, New York,76.8
20120815, New York,76.7
20120816, New York,75.9
20120817, New York,77.6
20120818, New York,72.6
20120819, New York,70.4
20120820, New York,71.8
20120821, New York,73.6
20120822, New York,74.7
20120823, New York,74.6
20120824, New York,76
20120825, New York,76.2
20120826, New York,73.4
20120827, New York,74.6
20120828, New York,79.4
20120829, New York,74.7
20120830, New York,73.5
20120831, New York,77.9
20120901, New York,80.7
20120902, New York,75.1
20120903, New York,73.5
20120904, New York,73.5
20120905, New York,77.7
20120906, New York,74.2
20120907, New York,76
20120908, New York,77.1
20120909, New York,69.7
20120910, New York,67.8
20120911, New York,64
20120912, New York,68.1
20120913, New York,69.3
20120914, New York,70
20120915, New York,69.3
20120916, New York,66.3
20120917, New York,67
20120918, New York,72.8
20120919, New York,67.2
20120920, New York,62.1
20120921, New York,64
20120922, New York,65.5
20120923, New York,65.7
20120924, New York,60.4
20120925, New York,63.2
20120926, New York,68.5
20120927, New York,69.2
20120928, New York,68.7
20120929, New York,62.5
20120930, New York,62.3
20111001,San Francisco,62.7
20111002,San Francisco,59.9
20111003,San Francisco,59.1
20111004,San Francisco,58.8
20111005,San Francisco,58.7
20111006,San Francisco,57
20111007,San Francisco,56.7
20111008,San Francisco,56.8
20111009,San Francisco,56.7
20111010,San Francisco,60.1
20111011,San Francisco,61.1
20111012,San Francisco,61.5
20111013,San Francisco,64.3
20111014,San Francisco,67.1
20111015,San Francisco,64.6
20111016,San Francisco,61.6
20111017,San Francisco,61.1
