date,city,rate,
20030101,Lincoln,4.0,
20030102,Lincoln,3.7,
20030103,Lincoln,3.8,
20030104,Lincoln,3.5,
20030105,Lincoln,3.8,
20030106,Lincoln,4.0,
20030107,Lincoln,4.1,
20030108,Lincoln,3.5,
20030109,Lincoln,3.4,
20030110,Lincoln,3.3,
20030111,Lincoln,3.3,
20030112,Lincoln,3.3,
20030113,Lincoln,4.0,
20030114,Lincoln,3.7,
20030115,Lincoln,3.8,
20030116,Lincoln,3.4,
20030117,Lincoln,3.4,
20030118,Lincoln,3.6,
20030119,Lincoln,3.8,
20030120,Lincoln,3.3,
20030121,Lincoln,3.2,
20030122,Lincoln,3.1,
20030123,Lincoln,3.2,
20030124,Lincoln,3.3,
20030125,Lincoln,4.3,
20030126,Lincoln,4.0,
20030127,Lincoln,3.9,
20030128,Lincoln,3.6,
20030129,Lincoln,3.6,
20030130,Lincoln,3.6,
20030131,Lincoln,3.8,
20030201,Lincoln,3.3,
20030202,Lincoln,3.2,
20030203,Lincoln,3.0,
20030204,Lincoln,3.2,
20030205,Lincoln,3.2,
20030206,Lincoln,3.4,
20030207,Lincoln,3.1,
20030208,Lincoln,3.0,
20030209,Lincoln,2.8,
20030210,Lincoln,2.6,
20030211,Lincoln,2.9,
20030212,Lincoln,3.1,
20030213,Lincoln,2.6,
20030214,Lincoln,2.5,
20030215,Lincoln,2.3,
20030216,Lincoln,2.3,
20030217,Lincoln,2.4,
20030218,Lincoln,3.2,
20030219,Lincoln,2.9,
20030220,Lincoln,2.5,
20030221,Lincoln,2.4,
20030222,Lincoln,2.8,
20030223,Lincoln,3.2,
20030224,Lincoln,3.1,
20030225,Lincoln,2.7,
20030226,Lincoln,2.6,
20030227,Lincoln,2.6,
20030228,Lincoln,2.7,
20030301,Lincoln,2.4,
20030302,Lincoln,3.2,
20030303,Lincoln,3.0,
20030304,Lincoln,3.0,
20030305,Lincoln,2.6,
20030306,Lincoln,2.9,
20030307,Lincoln,3.3,
20030308,Lincoln,3.3,
20030309,Lincoln,3.0,
20030310,Lincoln,3.0,
20030311,Lincoln,3.0,
20030312,Lincoln,3.0,
20030313,Lincoln,3.1,
20030314,Lincoln,4.6,
20030315,Lincoln,4.3,
20030316,Lincoln,4.4,
20030317,Lincoln,4.2,
20030318,Lincoln,4.4,
20030319,Lincoln,4.6,
20030320,Lincoln,4.5,
20030321,Lincoln,4.3,
20030322,Lincoln,4.4,
20030323,Lincoln,4.2,
20030324,Lincoln,3.9,
20030325,Lincoln,4.2,
20030326,Lincoln,5.0,
20030327,Lincoln,4.9,
20030328,Lincoln,4.8,
20030329,Lincoln,4.1,
20030330,Lincoln,4.0,
20030331,Lincoln,4.5,
20030401,Lincoln,4.2,
20030402,Lincoln,3.9,
20030403,Lincoln,3.9,
20030404,Lincoln,3.8,
20030405,Lincoln,3.7,
20030406,Lincoln,3.8,
20030407,Lincoln,4.6,
20030408,Lincoln,4.4,
20030409,Lincoln,4.3,
20030410,Lincoln,3.9,
20030411,Lincoln,3.9,
20030412,Lincoln,4.5,
20030413,Lincoln,4.1,
20030414,Lincoln,3.9,
20030415,Lincoln,3.9,
20030416,Lincoln,3.7,
20030417,Lincoln,3.4,
20030418,Lincoln,3.7,
20030419,Lincoln,3.9,
20030420,Lincoln,4.0,
20030421,Lincoln,3.7,
20030422,Lincoln,3.3,
20030423,Lincoln,3.4,
20030424,Lincoln,3.9,
20030425,Lincoln,3.9,
20030426,Lincoln,3.4,
20030427,Lincoln,3.2,
20030428,Lincoln,3.3,
20030429,Lincoln,3.1,
20030430,Lincoln,3.4,
20030501,Lincoln,4.2,
20030502,Lincoln,3.8,
20030503,Lincoln,3.4,
20030504,Lincoln,3.3,
20030505,Lincoln,3.5,
20030506,Lincoln,4.0,
20030507,Lincoln,4.0,
20030508,Lincoln,3.3,
