OPE_ID,NAME,ADDR,CITY,ST_CD,ST_DESC,ZIP,ZIP_EXT,Country,PGM_LEN,SCH_TYPE,YR_1,NBD_1,NBR_1,DRATE_1,AVG_1,PRATE_1,YR_2,NBD_2,NBR_2,DRATE_2,AVG_2,PRATE_2,YR_3,NBD_3,NBR_3,DRATE_3,AVG_3,PRATE_3,ETH_CERT,PROGRAM,CON_DIST,REGION,AVGOR_GE30
025938,Concordia University College of Alberta,7128 Ada Boulevard,Edmonton,ZZ,,,,"Alberta, CANADA T5B 4E4",Master's Degree or Doctor's Degree,Fpvt,2010,0,0,100,*,FL,2009,1,1,50,*,FL,2008,0,0,0,*,FL,,B,,11,1
011194,Stanly Community College,141 College Drive,Albemarle,NC,North Carolina,28001,7458,,Associate's Degree,Pub,2010,0,0,100,*,FL,2009,0,0,100,*,FL,2008,1,1,100,*,FL,,B,08,04,1
005283,Tennessee Technology Center - Newbern,340 Washington Street,Newbern,TN,Tennessee,38059,1198,,Non-Degree 2 Years (1800-2699 hours),Pub,2010,1,1,100,*,FL,2009,0,0,0,*,FL,2008,0,0,0,*,FL,,B,08,04,1
008913,Lakehead University,955 Oliver Road,Thunder Bay,ZZ,,,,"Ontario, CANADA P7B   5E1",Master's Degree or Doctor's Degree,Fpub,2010,1,3,50,*,FL,2009,1,1,50,*,FL,2008,0,0,0,*,FL,,D,,11,1
009698,Medicine Hat College,299 College Drive SE,Medicine Hat,ZZ,,,,"Alberta, CANADA T1A   3Y6",Associate's Degree,Fpub,2010,0,0,50,*,FL,2009,1,2,50,*,FL,2008,0,0,0,*,FL,,F,,11,1
021497,University of Winchester (The),Sparkford Road,Winchester,ZZ,,,,"Hampshire, ENGLAND S022 4NR",Master's Degree or Doctor's Degree,Fpub,2010,1,2,50,*,FL,2009,0,0,0,*,FL,2008,0,0,0,*,FL,,B,,11,1
041511,Summit Salon & Beauty School,110 West Midland Avenue,Woodland Park,CO,Colorado,80866,4569,,Non-Degree 2 Years (1800-2699 hours),Prop,2010,2,4,50,*,DL,2009,,,,,N/A,2008,,,,,N/A,,B,5,08,0
041454,Oxford Academy of Hair Design,153 North Street,Seymour,CT,Connecticut,06483,2911,,Non-Degree 1 Year (900-1799 hours),Prop,2010,2,3,50,*,DL,2009,0,1,0,*,DL,2008,,,,,N/A,,B,3,01,0
041509,Process Institute of Cosmetology (The),755 Lawrenceville-Suwannee Road,Lawrenceville,GA,Georgia,30043,7344,,Non-Degree 1 Year (900-1799 hours),Prop,2010,2,4,50,*,DL,2009,,,,,N/A,2008,,,,,N/A,,B,7,04,0
041338,Southeast Culinary & Hospitality College,100 Piedmont Avenue,Bristol,VA,Virginia,24201,4159,,Associate's Degree,Prop,2010,9,20,43.4,*,DL,2009,1,3,33.3,*,DL,2008,,,,,N/A,,B,9,03,0
