id	rate
31001	-0.06
31003	-0.2
31005	-0.25
31007	-0.08
31009	1.15
31011	-0.34
31013	-0.17
31015	-0.05
31017	0.03
31019	-0.19
31021	-0.17
31023	-0.23
31025	-0.25
31027	-0.37
31029	-0.01
31031	0.21
31033	-0.15
31035	-0.29
31037	-0.03
31039	-0.25
31041	0.06
31043	0.05
31045	-0.08
31047	0.02
31049	-0.08
31051	-0.11
31053	0.06
31055	0.18
31057	-0.09
31059	-0.27
31061	-0.13
31063	-0.31
31065	-0.12
31067	-0.08
31069	0.48
31071	-0.05
31073	-0.39
31075	-0.23
31077	-0.02
31079	0.07
31081	-0.27
31083	-0.22
31085	0.39
31087	-0.06
31089	-0.04
31091	-0.26
31093	-0.19
31095	-0.06
31097	-0.3
31099	-0.19
31101	0.07
31103	0.49
31105	0.19
31107	-0.07
31109	-0.07
31111	-0.09
31113	-0.19
31115	0.18
31117	-0.02
31119	0.17
31121	-0.13
31123	-0.07
31125	-0.12
31127	-0.07
31129	-0.18
31131	-0.13
31133	-0.12
31135	-0.24
31137	-0.21
31139	-0.33
31141	-0.04
31143	-0.31
31145	-0.14
31147	0.03
31149	0.01
31151	-0.02
31153	-0.19
31155	-0.22
31157	0.03
31159	-0.33
31161	-0.13
31163	-0.05
31165	0.08
31167	-0.13
31169	-0.27
31171	0.26
31173	0.01
31175	-0.13
31177	-0.31
31179	-0.21
31181	-0.17
31183	0.36
31185	-0.17
