date,werewolves,witch,zombies,ghost,vampire
10-Jan-01,1,12,12,48,51
10-Jan-01,1,12,12,46,54
10-Jan-01,1,12,12,45,61
10-Jan-01,2,12,12,45,58
10-Jan-01,1,12,12,45,62
10-Feb-01,1,12,13,46,64
10-Feb-01,1,12,14,46,60.01
10-Feb-01,1,11,14,47,53
10-Feb-01,1,12,14,49,48
10-Mar-01,1,11,14,47,48
10-Mar-01,1,11,15,48,47
10-Mar-01,1,11,15,50.01,57
10-Mar-01,1,11,16,54,59
10-Apr-01,1,11,16,50.01,60.01
10-Apr-01,1,11,14,47,55
10-Apr-01,1,11,14,47,56
10-Apr-01,1,11,14,47,55
10-May-01,1,11,15,48,57
10-May-01,1,11,15,47,65
10-May-01,1,11,15,50.01,57
10-May-01,1,11,16,49,47
10-May-01,1,11,16,49,45
10-Jun-01,1,11,16,48,43
10-Jun-01,1,11,15,48,40.01
10-Jun-01,1,11,16,54,41
10-Jun-01,1,10.01,17,60.01,45
10-Jul-01,1,11,16,54,44
10-Jul-01,1,11,17,59,45
10-Jul-01,1,12,18,65,42
10-Jul-01,1,12,18,60.01,43
10-Aug-01,1,11,19,61,42
10-Aug-01,1,12,20.01,56,44
10-Aug-01,1,11,19,55,44
10-Aug-01,1,12,18,54,46
10-Aug-01,1,12,18,51,47
10-Sep-01,1,14,21,53,66
10-Sep-01,1,14,19,53,62
10-Sep-01,1,14,20.01,52,59
10-Sep-01,1,14,21,53,57
10-Oct-01,1,16,20.01,55,60.01
10-Oct-01,1,17,21,56,66
10-Oct-01,1,19,22,57,67
10-Oct-01,1,27,26,69,75
10-Oct-01,1,19,31,60.01,70.01
10-Nov-01,0.01,13,42,49,65
10-Nov-01,1,13,38,50.01,59
10-Nov-01,1,12,36,46,53
10-Nov-01,1,12,31,46,57
10-Dec-01,1,12,30.01,46,62
10-Dec-01,1,13,29,45,59
10-Dec-01,1,14,34,48,56
10-Dec-01,1,15,38,51,56
11-Jan-01,1,19,33,47,58
11-Jan-01,1,21,31,46,55
11-Jan-01,1,19,32,47,54
11-Jan-01,1,17,31,45,66
11-Jan-01,1,15,34,45,67
11-Feb-01,1,14,30.01,44,62
11-Feb-01,1,13,29,44,63
11-Feb-01,0.01,14,28,45,62
11-Feb-01,1,13,27,43,57
11-Mar-01,1,15,28,44,51
11-Mar-01,1,19,27,44,44
11-Mar-01,1,17,29,46,44
11-Mar-01,1,14,27,47,45
11-Apr-01,0.01,14,27,45,58
11-Apr-01,1,13,28,46,63
11-Apr-01,1,13,30.01,47,64
11-Apr-01,1,12,28,46,65
11-May-01,0.01,13,30.01,45,70.01
11-May-01,1,12,30.01,45,75
11-May-01,1,12,32,44,56
11-May-01,1,12,31,44,45
11-May-01,1,12,32,45,43
11-Jun-01,1,11,31,46,41
11-Jun-01,1,11,31,46,40.01
11-Jun-01,1,12,33,47,39
11-Jun-01,1,13,36,49,40.01
11-Jul-01,1,13,33,46,39
11-Jul-01,1,13,31,47,40.01
11-Jul-01,1,13,32,47,39
11-Jul-01,1,13,33,49,42
11-Jul-01,1,13,33,49,42
11-Aug-01,1,13,33,47,42
11-Aug-01,1,13,35,49,44
11-Aug-01,1,12,35,47,41
11-Aug-01,1,13,34,47,44
11-Sep-01,1,13,33,45,48
11-Sep-01,1,14,32,47,69
11-Sep-01,1,15,31,46,71
11-Sep-01,1,15,32,45,65
11-Oct-01,1,16,33,50.01,67
11-Oct-01,1,17,33,50.01,69
11-Oct-01,1,19,33,54,74
11-Oct-01,1,25,36,62,83
11-Oct-01,1,21,36,59,80.01
11-Nov-01,2,14,32,45,71
11-Nov-01,2,13,29,43,72
11-Nov-01,1,12,30.01,45,61
11-Nov-01,1,12,29,44,52
11-Dec-01,1,13,30.01,44,49
11-Dec-01,1,13,30.01,53,48
11-Dec-01,1,13,34,56,50.01
11-Dec-01,1,14,37,58,57
12-Jan-01,1,14,32,53,80.01
12-Jan-01,1,13,30.01,51,78
12-Jan-01,1,13,30.01,51,75
12-Jan-01,1,13,30.01,52,71
12-Jan-01,1,12,28,50.01,71
12-Feb-01,1,13,29,53,73
12-Feb-01,1,13,30.01,65,75
12-Feb-01,1,13,30.01,69,67
12-Feb-01,0.01,13,30.01,58,53
12-Mar-01,1,13,29,52,49
12-Mar-01,1,13,30.01,52,59
12-Mar-01,1,12,31,54,60.01
12-Mar-01,1,13,31,57,58
12-Apr-01,1,13,33,57,58
12-Apr-01,1,13,30.01,54,51
12-Apr-01,1,13,28,55,58
12-Apr-01,1,13,29,54,61
12-Apr-01,1,13,34,55,64
12-May-01,1,14,31,50.01,71
12-May-01,1,18,31,51,61
12-May-01,1,18,30.01,60.01,47
12-May-01,1,16,42,58,45
12-Jun-01,1,16,38,53,49
12-Jun-01,1,15,34,52,48
12-Jun-01,1,14,35,55,56
12-Jun-01,1,14,35,56,58
12-Jul-01,1,14,35,55,53
12-Jul-01,1,14,35,52,53
12-Jul-01,1,13,35,51,51
12-Jul-01,1,13,35,49,48
12-Jul-01,1,13,35,49,48
12-Aug-01,1,14,36,51,49
12-Aug-01,1,14,35,50.01,49
12-Aug-01,1,14,33,49,47
12-Aug-01,1,14,34,46,47
12-Sep-01,1,15,34,47,49
12-Sep-01,1,15,31,44,46
12-Sep-01,1,15,35,44,48
12-Sep-01,1,15,37,46,49
12-Sep-01,1,16,33,46,50.01
12-Oct-01,1,17,34,47,82
12-Oct-01,1,19,35,51,82
12-Oct-01,1,24,41,55,84
12-Oct-01,1,26,44,57,84
12-Nov-01,1,14,36,41,65
12-Nov-01,1,13,61,40.01,66
12-Nov-01,1,13,57,39,64
12-Nov-01,1,13,48,45,69
12-Dec-01,1,13,44,42,65
12-Dec-01,1,13,43,40.01,65
12-Dec-01,1,13,47,40.01,57
12-Dec-01,1,14,54,45,55
12-Dec-01,1,15,51,45,55
13-Jan-01,1,15,40.01,43,51
13-Jan-01,1,15,40.01,43,60.01
13-Jan-01,1,18,39,44,62
13-Jan-01,1,19,40.01,42,61
13-Feb-01,1,19,39,39,60.01
13-Feb-01,0.01,17,39,41,60.01
13-Feb-01,1,17,38,43,64
13-Feb-01,1,18,39,42,57
13-Mar-01,1,17,37,42,50.01
13-Mar-01,1,17,36,46,58
13-Mar-01,1,31,38,44,56
13-Mar-01,1,16,43,45,61
13-Mar-01,1,15,41,43,56
13-Apr-01,1,22,40.01,41,49
13-Apr-01,1,16,46,41,52
13-Apr-01,1,15,49,43,59
13-Apr-01,1,14,50.01,49,62
13-May-01,1,15,48,45,65
13-May-01,0.01,15,48,42,74
13-May-01,1,14,46,48,60.01
13-May-01,1,13,44,44,48
