Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/
Violent crime rate
Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Beatrice Police Dept,NE,          62.8,          87.6,          57.4,          49.5,          90.5,         105.2,          48.1,          71.6,          97.2,           8.0,         112.6,         199.2,          55.6,         127.5,          72.6,,         175.9,         205.9,         194.1,         323.0,         329.5,         354.9,         377.7,         433.7,         281.4,         280.9,         564.8,         298.7,
Bellevue City Police Dept,NE,          88.8,          65.2,          84.1,          58.0,         107.2,         106.5,         118.3,         117.4,          73.9,         114.6,         115.3,          80.9,         125.8,          84.2,          58.9,          85.6,          47.3,         124.9,          96.8,         102.2,         119.6,         149.2,          95.7,         159.5,         135.2,         139.6,          96.9,         106.4,
Columbus Police Dept,NE,          37.6,          43.2,          43.1,          37.2,          31.0,          41.1,          86.5,          55.5,         155.8,          89.6,         120.8,          91.0,          85.9,         138.9,          81.2,          62.0,          61.9,          56.6,          42.9,          85.8,          52.3,          42.8,          84.0,         107.3,          64.7,         122.1,          85.2,          88.7,
Douglas County Sheriff Office,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fremont Police Dept,NE,          33.4,          37.7,          37.9,         105.0,         100.0,         114.0,         104.6,          58.1,          88.6,         125.4,         271.3,         239.9,         156.7,         217.1,         179.8,          87.4,          47.6,          86.5,         126.3,         165.9,         133.7,         145.4,         149.5,         209.0,         162.6,         189.4,         161.5,         108.9,
Grand Island Police Dept,NE,          60.1,          55.5,         166.6,         120.2,         109.9,         111.7,         163.5,         239.6,         273.7,         362.2,         395.2,         291.3,         354.7,         446.3,         313.4,         365.6,         302.4,         308.8,         309.7,         313.9,         222.1,         221.0,         276.7,         417.6,         486.1,         346.2,         304.4,         326.7,
Hastings Police Dept,NE,          73.0,         161.2,          61.0,          79.2,          84.0,          83.2,          69.4,          81.8,         100.8,          91.1,         116.6,          77.0,          25.6,         117.5,         107.5,          70.6,          87.2,         168.6,         133.1,         232.6,         216.5,         195.5,         202.0,         188.8,         204.1,         132.5,         187.0,         228.4,
Kearney Police Dept,NE,         171.9,         195.4,          48.4,          83.3,         151.3,         151.7,         166.5,         161.2,          72.1,         170.4,         245.8,         232.3,         272.8,         341.4,         299.7,         277.1,         207.6,         263.4,         285.0,         247.0,         197.7,         192.3,         242.8,         219.9,         204.8,         201.4,         144.9,         133.8,
Lancaster County Sheriff Department,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavista Police Dept,NE,         146.1,         121.3,          91.5,          35.9,          79.7,         193.1,         130.9,         129.8,          85.9,          47.2,          46.6,          64.7,          55.3,          67.2,         117.8,          34.2,          51.2,         143.8,         107.4,         121.8,         128.5,         133.1,          71.4,          58.5,          52.0,         101.5,          62.9,          61.6,
