state,county,office,district,party,candidate,votes
AZ,Apache,President,,,Robert L. Buchanan,0
AZ,Cochise,President,,,Robert L. Buchanan,0
AZ,Coconino,President,,,Robert L. Buchanan,0
AZ,Gila,President,,,Robert L. Buchanan,4
AZ,Graham,President,,,Robert L. Buchanan,0
AZ,Greenlee,President,,,Robert L. Buchanan,0
AZ,La Paz,President,,,Robert L. Buchanan,0
AZ,Maricopa,President,,,Robert L. Buchanan,42
AZ,Mohave,President,,,Robert L. Buchanan,0
AZ,Navajo,President,,,Robert L. Buchanan,1
AZ,Pima,President,,,Robert L. Buchanan,6
AZ,Pinal,President,,,Robert L. Buchanan,0
AZ,Santa Cruz,President,,,Robert L. Buchanan,0
AZ,Yavapai,President,,,Robert L. Buchanan,1
AZ,Yuma,President,,,Robert L. Buchanan,2
AZ,Total,President,,,Robert L. Buchanan,56
AZ,Apache,President,,,Willie Felix Carter,6
AZ,Cochise,President,,,Willie Felix Carter,0
AZ,Coconino,President,,,Willie Felix Carter,1
AZ,Gila,President,,,Willie Felix Carter,0
AZ,Graham,President,,,Willie Felix Carter,0
AZ,Greenlee,President,,,Willie Felix Carter,0
AZ,La Paz,President,,,Willie Felix Carter,0
AZ,Maricopa,President,,,Willie Felix Carter,28
AZ,Mohave,President,,,Willie Felix Carter,0
AZ,Navajo,President,,,Willie Felix Carter,1
AZ,Pima,President,,,Willie Felix Carter,5
AZ,Pinal,President,,,Willie Felix Carter,1
AZ,Santa Cruz,President,,,Willie Felix Carter,0
AZ,Yavapai,President,,,Willie Felix Carter,0
AZ,Yuma,President,,,Willie Felix Carter,0
AZ,Total,President,,,Willie Felix Carter,42
AZ,Apache,President,,,Darrell Castle,34
AZ,Cochise,President,,,Darrell Castle,37
AZ,Coconino,President,,,Darrell Castle,13
AZ,Gila,President,,,Darrell Castle,4
AZ,Graham,President,,,Darrell Castle,14
AZ,Greenlee,President,,,Darrell Castle,1
AZ,La Paz,President,,,Darrell Castle,2
AZ,Maricopa,President,,,Darrell Castle,616
AZ,Mohave,President,,,Darrell Castle,24
AZ,Navajo,President,,,Darrell Castle,24
AZ,Pima,President,,,Darrell Castle,141
AZ,Pinal,President,,,Darrell Castle,75
AZ,Santa Cruz,President,,,Darrell Castle,4
AZ,Yavapai,President,,,Darrell Castle,44
AZ,Yuma,President,,,Darrell Castle,25
AZ,Total,President,,,Darrell Castle,1058
AZ,Apache,President,,DEM,Hillary Clinton,17083
AZ,Cochise,President,,DEM,Hillary Clinton,17450
AZ,Coconino,President,,DEM,Hillary Clinton,32404
AZ,Gila,President,,DEM,Hillary Clinton,7003
AZ,Graham,President,,DEM,Hillary Clinton,3301
AZ,Greenlee,President,,DEM,Hillary Clinton,1092
AZ,La Paz,President,,DEM,Hillary Clinton,1575
AZ,Maricopa,President,,DEM,Hillary Clinton,702907
AZ,Mohave,President,,DEM,Hillary Clinton,17455
AZ,Navajo,President,,DEM,Hillary Clinton,16459
AZ,Pima,President,,DEM,Hillary Clinton,224661
AZ,Pinal,President,,DEM,Hillary Clinton,47892
AZ,Santa Cruz,President,,DEM,Hillary Clinton,11690
AZ,Yavapai,President,,DEM,Hillary Clinton,35590
AZ,Yuma,President,,DEM,Hillary Clinton,24605
AZ,Total,President,,DEM,Hillary Clinton,1161167
AZ,Apache,President,,,Michael Corsetti,0
AZ,Cochise,President,,,Michael Corsetti,0
AZ,Coconino,President,,,Michael Corsetti,0
AZ,Gila,President,,,Michael Corsetti,0
AZ,Graham,President,,,Michael Corsetti,0
AZ,Greenlee,President,,,Michael Corsetti,0
AZ,La Paz,President,,,Michael Corsetti,0
AZ,Maricopa,President,,,Michael Corsetti,3
AZ,Mohave,President,,,Michael Corsetti,0
AZ,Navajo,President,,,Michael Corsetti,0
AZ,Pima,President,,,Michael Corsetti,0
AZ,Pinal,President,,,Michael Corsetti,0
AZ,Santa Cruz,President,,,Michael Corsetti,0
AZ,Yavapai,President,,,Michael Corsetti,0
AZ,Yuma,President,,,Michael Corsetti,0
AZ,Total,President,,,Michael Corsetti,3
AZ,Apache,President,,ADP,Rocky De La Fuente,0
AZ,Cochise,President,,ADP,Rocky De La Fuente,3
AZ,Coconino,President,,ADP,Rocky De La Fuente,2
AZ,Gila,President,,ADP,Rocky De La Fuente,0
AZ,Graham,President,,ADP,Rocky De La Fuente,0
AZ,Greenlee,President,,ADP,Rocky De La Fuente,0
AZ,La Paz,President,,ADP,Rocky De La Fuente,0
AZ,Maricopa,President,,ADP,Rocky De La Fuente,20
