incid,date,year,time,ofcage,ofcrace,ofcgender,ofcexp,ofczpro,ofcteam,loc,natinc,light,light1,susweap,susweap1,susage,susrace,susgender,flag1,flag2,flag3,alcohol,drug,mental,esl,reason,resist,resist1,resist2,control,control1,control2,typecontrol,typecontrol1,typecontrol2,ground,susinjury,ofcinjury,suspart,ofcpart,ofcpart1,susact,susact1,FID
1,2010-01-15T00:00:00.000Z,2010,1933,35,1,0,5,27.25,4,84,5000,3,.,1,1,37,4,0,6,0,0,0,1,0,0,1,5,5,5,3,3,3,1,.,.,1,0,0,.,1,.,2,2,1
2,2010-03-02T00:00:00.000Z,2010,1721,29,1,0,6,40.95,7,1,40222,2,.,5,5,17,5,0,2,3,0,1,0,0,0,1,3,5,5,3,3,3,1,.,.,0,0,0,.,1,.,2,2,2
3,2010-03-14T00:00:00.000Z,2010,138,51,1,0,20,42.02,7,36,12000,2,.,1,1,24,2,1,0,0,0,1,0,0,0,1,4,5,5,3,3,3,1,.,.,0,0,0,.,3,.,3,3,3
4,2010-03-26T00:00:00.000Z,2010,1209,43,1,0,10,45.03,7,82,5300,3,.,1,1,28,1,1,0,0,0,0,0,0,0,3,5,5,5,3,3,3,1,.,.,0,0,0,.,6,.,2,2,4
5,2010-04-05T00:00:00.000Z,2010,2138,29,1,0,6,40.95,4,97,12000,2,.,5,5,25,1,0,0,0,0,0,0,0,0,1,5,5,5,3,3,3,1,.,.,0,0,0,.,5,6,8,8,5
6,2010-04-14T00:00:00.000Z,2010,320,28,1,0,6,51.8,7,75,14100,3,.,1,1,35,2,0,1,0,0,1,0,0,0,2,5,5,5,3,3,3,1,8,.,1,0,0,.,5,.,2,2,6
7,2010-04-17T00:00:00.000Z,2010,915,25,3,0,1,30.86,7,12,12000,3,.,2,2,48,2,0,7,0,0,1,0,0,0,1,5,5,5,3,3,3,1,.,.,0,0,0,.,3,.,2,2,7
8,2010-04-28T00:00:00.000Z,2010,1351,25,3,0,1,30.86,7,75,12000,3,.,5,5,38,2,0,1,0,0,0,0,0,0,1,5,5,5,3,3,3,1,.,.,0,0,0,.,3,.,2,2,8
9,2010-05-02T00:00:00.000Z,2010,35,22,1,0,1,.,7,1,5000,2,.,1,1,41,1,0,3,0,0,0,0,0,0,1,5,5,5,4,5,5,1,7,.,1,0,0,.,1,.,2,2,9
10,2010-05-14T00:00:00.000Z,2010,2247,27,1,0,3,41.42,7,3,5300,2,.,1,1,32,2,0,1,0,0,1,0,0,0,4,5,5,5,3,3,3,1,.,.,0,0,1,.,5,6,2,2,10
11,2010-05-16T00:00:00.000Z,2010,254,28,1,0,2,39.16,7,86,12000,3,.,1,1,30,1,0,0,0,0,1,1,0,0,1,2,5,5,3,3,3,1,.,.,1,0,0,.,1,.,2,2,11
12,2010-05-22T00:00:00.000Z,2010,1427,27,1,0,1,37.67,4,75,24244,3,.,5,5,23,2,1,1,0,0,1,0,0,0,1,5,5,5,3,3,3,1,.,.,0,0,0,.,5,.,8,8,12
