College,Degree,MajorCode,MajorName,NonResidentAlienMale,NonResidentAlienFemale,HispanicMale,HIspanicFemale,AmericanIndianMale,AmericanIndianFemale,AsianMale,AsianFemale,BlackMale,BlackFemale,NativeHawaiianMale,NativeHawaiianFemale,WhiteMale,WhiteFemale,TwoRacesMale,TwoRacesFemale,UnknownMale,UnknownFemale,Total
College of Agri Sci and Natl Resources,B1BC,BIOC,Biochemistry,3,3,1,3,0,0,4,5,1,1,0,0,34,37,1,2,1,1,97
College of Agri Sci and Natl Resources,B1AS,ASCI,Animal Science,0,3,6,10,0,0,0,2,0,1,0,1,94,216,0,3,1,1,338
College of Agri Sci and Natl Resources,B1FW,FWL,Fisheries and Wildlife,0,0,4,8,0,0,0,0,1,0,0,0,91,77,1,6,2,1,191
College of Agri Sci and Natl Resources,B1AP,APSC,Applied Science,1,0,2,1,0,0,0,0,1,0,0,0,50,14,1,0,0,1,71
College of Agri Sci and Natl Resources,B1HO,HORT,Horticulture,1,0,1,1,0,0,0,1,0,0,0,0,21,26,0,0,0,1,52
College of Agri Sci and Natl Resources,B1ED,AEDU,Agricultural Education,0,1,0,0,0,0,0,0,0,1,0,0,23,75,0,1,0,2,103
College of Agri Sci and Natl Resources,B1VS,VBMS,Veterinary Science,0,0,0,2,0,0,0,0,1,1,0,0,9,44,0,2,0,2,61
College of Agri Sci and Natl Resources,B1AB,ABUS,Agribusiness,3,1,2,3,0,0,0,0,0,0,0,0,168,62,1,0,1,0,241
College of Agri Sci and Natl Resources,B1AE,AECN,Agricultural Economics,3,1,1,1,0,0,0,0,0,0,0,0,100,20,3,1,2,0,132
College of Agri Sci and Natl Resources,B1AG,AGRO,Agronomy,3,4,0,2,0,0,0,0,0,0,1,0,161,17,0,1,2,0,191
College of Agri Sci and Natl Resources,B1PM,PGAM,PGA Golf Management,3,0,4,0,2,0,0,0,0,0,0,0,73,4,2,0,2,0,90
College of Agri Sci and Natl Resources,B1TL,TLMT,Turfgrass and Landscape Mngt,1,1,0,0,0,0,0,0,0,0,0,0,26,1,0,0,2,0,31
College of Agri Sci and Natl Resources,B1WS,WATR,Water Science,3,0,1,0,0,0,0,0,0,0,0,0,8,3,0,0,2,0,17
College of Agri Sci and Natl Resources,B1MS,MSYM,Mechanized Systems Management,1,0,1,0,0,0,0,0,0,0,0,0,93,3,2,0,3,0,103
College of Agri Sci and Natl Resources,B1MB,MBIO,Microbiology,1,3,0,0,0,0,0,0,0,0,0,0,17,16,0,1,0,0,38
College of Agri Sci and Natl Resources,B1ES,ENVR,Environmental Studies,1,1,1,2,2,1,0,0,1,0,0,0,29,29,0,1,0,0,68
College of Agri Sci and Natl Resources,B1FS,FDST,Food Science and Technology,6,12,1,0,0,0,1,3,0,2,0,0,13,31,0,1,0,0,70
College of Agri Sci and Natl Resources,B1FO,FORS,Forensic Science,2,0,0,11,0,0,3,2,1,3,0,0,29,75,1,2,0,0,129
College of Agri Sci and Natl Resources,DVM,VMED,Veterinary Medicine,0,0,0,0,0,0,1,0,0,0,0,0,16,31,0,2,0,0,50
College of Agri Sci and Natl Resources,NDEG,PVET,Pre-Veterinary Medicine,0,0,1,5,1,0,1,0,0,2,0,0,10,62,0,6,0,0,88
College of Agri Sci and Natl Resources,NDEG,PAGS,Pre-Agricultural Sci (Omaha),0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,5
College of Agri Sci and Natl Resources,B1PB,PBIO,Plant Biology,0,0,0,0,0,0,0,0,0,0,0,0,10,5,2,0,0,0,17
College of Agri Sci and Natl Resources,NDEG,PHRT,Pre-Horticulture (Omaha),0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
College of Agri Sci and Natl Resources,B1GE,GECM,Grassland Ecology & Management,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,5
College of Agri Sci and Natl Resources,B1FC,FTCA,Food Tech for Companion Animal,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3
College of Agri Sci and Natl Resources,NDEG,EXPS,General - CASNR,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4
College of Agri Sci and Natl Resources,DPLH,DPHP,Plant Health,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,7
College of Agri Sci and Natl Resources,B1AJ,AJRN,Agricultural Journalism,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
College of Agri Sci and Natl Resources,B1VT,VETH,Veterinary Technology,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,6
College of Agri Sci and Natl Resources,B1GL,GRLS,Grazing Livestock Systems,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,13
College of Agri Sci and Natl Resources,B1IS,INSC,Insect Science,1,0,0,1,0,0,0,0,0,0,0,0,9,5,0,0,0,0,16
College of Agri Sci and Natl Resources,B1ER,ENRS,Environmental Restoration Sci,1,0,0,1,0,0,0,0,0,0,0,0,7,6,0,0,0,0,15
College of Agri Sci and Natl Resources,B1NE,NREE,Natural Res & Environ Economic,0,1,1,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,15
College of Agri Sci and Natl Resources,BAHR,HRTA,HRTM-(Ecotourism/Parks &Recreation Options Only),0,1,1,2,0,0,1,1,1,0,0,0,3,26,0,0,0,0,36
College of Agri Sci and Natl Resources,B1SC,AESC,Agricultural & Env Sci Comm,2,0,0,0,0,0,0,1,0,0,0,0,3,26,0,0,0,0,32
College of Agri Sci and Natl Resources,B1AC,APCS,Applied Climate Science,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
