Year,Date,Enrollment
1967,1967-1-1,18067
1968,1968-1-1,19150
1969,1969-1-1,19618
1970,1970-1-1,20810
1971,1971-1-1,21541
1972,1972-1-1,21581
1973,1973-1-1,21160
1974,1974-1-1,20892
1975,1975-1-1,22380
1976,1976-1-1,22179
1977,1977-1-1,22256
1978,1978-1-1,22477
1979,1979-1-1,23661
1980,1980-1-1,24128
1981,1981-1-1,24786
1982,1982-1-1,25075
1983,1983-1-1,24789
1984,1984-1-1,24228
1985,1985-1-1,24020
1986,1986-1-1,23899
1987,1987-1-1,23469
1988,1988-1-1,23985
1989,1989-1-1,23926
1990,1990-1-1,24453
1991,1991-1-1,24620
1992,1992-1-1,24573
1993,1993-1-1,24491
1994,1994-1-1,23854
1995,1995-1-1,24320
1996,1996-1-1,23887
1997,1997-1-1,22827
1998,1998-1-1,22408
1999,1999-1-1,22142
2000,2000-1-1,22268
2001,2001-1-1,22764
2002,2002-1-1,22988
2003,2003-1-1,22559
2004,2004-1-1,21792
2005,2005-1-1,21675
2006,2006-1-1,22106
2007,2007-1-1,22973
2008,2008-1-1,23573
2009,2009-1-1,24100
2010,2010-1-1,24610
2011,2011-1-1,24593
2012,2012-1-1,24207
2013,2013-1-1,24445
2014,2014-1-1,25006
2015,2015-1-1,25260
2016,2016-1-1,25897
