County,Republican10,Democrat10,Libertarian10,Nonpartisan10,Total10,Republican16,Democrat16,Nonpartisan16,Libertarian16,Total16
Adams,10018,5536,6,2972,18532,10746,5027,3591,163,19527
Antelope,3005,1147,0,538,4690,3088,863,594,12,4557
Arthur,284,52,0,10,346,286,37,15,3,341
Banner,424,53,0,53,530,427,38,73,7,545
Blaine,314,56,0,24,394,310,43,29,2,384
Boone,2390,1156,0,408,3954,2469,901,404,11,3785
Box Butte,4115,2347,3,1286,7751,4278,1852,1395,52,7577
Boyd,1036,338,0,129,1503,1084,250,156,4,1494
Brown,1663,363,0,224,2250,1658,253,214,9,2134
Buffalo,15768,6785,14,4537,27104,16974,6453,5461,305,29193
Burt,2521,1694,0,834,5049,2540,1440,878,35,4893
Butler,3044,2134,0,939,6117,3066,1587,913,19,5585
Cass,8216,5435,6,3755,17412,8472,4633,4025,180,17310
Cedar,3072,2231,0,886,6189,3503,1574,869,14,5960
Chase,1827,526,0,263,2616,1830,371,277,8,2486
Cherry,2945,780,0,433,4158,3154,566,455,10,4185
Cheyenne,4146,1484,4,1266,6900,4250,1221,1336,56,6863
Clay,2889,1081,0,629,4599,2743,848,650,17,4258
Colfax,2364,2394,0,587,5345,2332,2018,701,18,5069
Cuming,3639,1485,1,754,5879,3635,1240,889,23,5787
Custer,5450,1871,1,1044,8366,5427,1440,1180,55,8102
Dakota,3577,4238,3,2270,10088,3674,4255,2691,80,10700
Dawes,3505,1422,1,1082,6010,3469,1316,1193,48,6026
Dawson,7666,3620,3,2289,13578,7707,3660,2434,115,13916
Deuel,1027,202,0,214,1443,998,176,207,10,1391
Dixon,1887,1309,0,618,3814,2272,957,545,16,3790
Dodge,10683,7132,2,4059,21876,11009,6265,4669,170,22113
Douglas,120973,125194,123,66976,313266,129688,132466,80315,3497,345966
Dundy,1013,221,0,134,1368,958,155,158,1,1272
Fillmore,2317,1230,0,590,4137,2378,1024,658,18,4078
Franklin,1356,608,1,339,2304,1428,483,360,10,2281
Frontier,1316,389,0,231,1936,1283,299,263,9,1854
Furnas,2240,784,2,484,3510,2291,649,533,19,3492
Gage,7421,5072,0,2709,15202,7166,4091,2778,101,14136
Garden,1156,263,0,131,1550,1091,221,145,5,1462
Garfield,959,244,1,117,1321,966,194,118,3,1281
Gosper,1003,314,0,175,1492,1048,246,181,5,1480
Grant,381,63,0,41,485,418,45,37,0,500
Greeley,578,1073,0,166,1817,626,814,152,2,1594
Hall,15782,9824,2,6066,31674,16436,9538,6803,249,33026
Hamilton,4107,1512,1,838,6458,4365,1252,944,49,6610
Harlan,1559,675,0,301,2535,1575,528,342,7,2452
Hayes,577,110,0,82,769,551,84,84,1,720
Hitchcock,1210,494,0,316,2020,1278,350,356,12,1996
Holt,4981,1549,2,710,7242,5102,1151,723,23,6999
Hooker,464,95,0,50,609,420,80,40,2,542
Howard,2241,1602,1,547,4391,2448,1347,640,21,4456
Jefferson,2775,1688,2,853,5318,2691,1338,922,30,4981
Johnson,1539,1021,0,387,2947,1532,798,422,15,2767
Kearney,2784,1050,1,596,4431,2818,902,685,29,4434
Keith,4054,1396,0,1073,6523,4024,1078,1062,39,6203
Keya Paha,561,94,0,31,686,516,76,44,3,639
Kimball,1987,587,1,451,3026,1920,506,552,11,2989
Knox,3118,2014,0,822,5954,3312,1621,871,18,5822
Lancaster,74342,67217,46,36208,177813,76898,68127,40130,1895,187050
Lincoln,12419,7120,6,3668,23213,13574,5968,4275,195,24012
Logan,415,90,0,54,559,425,70,68,1,564
Loup,400,83,0,35,518,421,77,26,1,525
Madison,12462,5425,5,3480,21372,12548,4888,3892,134,21462
McPherson,300,72,0,15,387,307,40,24,3,374
Merrick,3194,1345,1,729,5269,3213,998,715,28,4954
Morrill,2157,724,1,512,3394,2137,594,525,27,3283
Nance,1242,980,0,322,2544,1269,770,335,9,2383
Nemaha,2664,1609,1,737,5011,2462,1259,817,25,4563
Nuckolls,1786,1078,0,411,3275,1850,838,456,18,3162
Otoe,5350,3350,3,2068,10771,5324,2783,2264,76,10447
Pawnee,1061,618,0,270,1949,1084,494,270,10,1858
Perkins,1316,460,0,283,2059,1368,327,280,7,1982
Phelps,4179,1341,0,815,6335,4297,1048,857,33,6235
Pierce,3188,1025,0,663,4876,3302,766,785,19,4872
Platte,10998,5657,6,2774,19435,12051,4867,3057,141,20116
Polk,2192,908,1,407,3508,2298,730,473,15,3516
Red Willow,4300,1668,4,1355,7327,4621,1240,1341,37,7239
Richardson,3170,2174,1,842,6187,3004,1754,889,22,5669
Rock,829,161,0,71,1061,825,125,73,1,1024
Saline,2940,3709,4,1352,8005,3062,3303,1416,49,7830
Sarpy,43657,27188,40,21900,92785,50057,29538,27620,1258,108473
Saunders,7229,4851,3,2098,14181,8124,3952,2524,96,14696
Scotts Bluff,12734,6821,11,4305,23871,13033,6067,4854,185,24139
Seward,5841,3281,2,1778,10902,6109,2761,1991,65,10926
Sheridan,2710,843,0,557,4110,2755,678,618,15,4066
Sherman,930,996,0,171,2097,983,820,196,11,2010
Sioux,687,127,0,109,923,696,108,107,8,919
Stanton,2517,832,0,510,3859,2454,752,546,30,3782
Thayer,2298,1011,0,480,3789,2316,864,594,17,3791
Thomas,399,75,0,34,508,409,47,49,1,506
Thurston,1324,2514,0,576,4414,1277,2582,660,10,4529
Valley,1904,933,0,340,3177,1895,745,348,7,2995
Washington,7613,3694,1,2626,13934,8201,3212,2794,115,14322
Wayne,3300,1204,0,804,5308,3255,1101,836,44,5236
Webster,1512,757,1,343,2613,1456,574,371,12,2413
Wheeler,451,155,0,48,654,420,127,57,3,607
York,7168,2188,2,1432,10790,6658,1783,1510,62,10013
